"url","name","resource_type","key_resource",""
"https://www.bls.gov/cpi/tables/supplemental-files/cpi-u-202501.xlsx","CPI-U, January 2025 (XLSX)","Data File (Excel)","False",""
"https://www.bls.gov/cpi/tables/supplemental-files/cpi-w-202501.xlsx","CPI-W, January 2025 (XLSX)","Data File (Excel)","False",""
"https://www.bls.gov/cpi/tables/supplemental-files/historical-cpi-u-202501.xlsx","Historical CPI-U, January 2025 (XLSX)","Data File (Excel)","False",""
"https://www.bls.gov/cpi/tables/supplemental-files/c-cpi-u-202501.xlsx","C-CPI-U, January 2025 (XLSX)","Data File (Excel)","False",""
"https://www.bls.gov/news.release/archives/cpi_01152025.htm","December 2024 Consumer Price Index","Report Document","False",""
"https://www.bls.gov/news.release/archives/cpi_01152025.pdf","December 2024 Consumer Price Index (PDF)","Report Document","False",""
"https://www.bls.gov/cpi/tables/supplemental-files/news-release-table1-202412.xlsx","News Release Table 1, December 2024 (XLSX)","Data File (Excel)","False",""
"https://www.bls.gov/cpi/tables/supplemental-files/news-release-table2-202412.xlsx","News Release Table 2, December 2024 (XLSX)","Data File (Excel)","False",""
"https://www.bls.gov/cpi/tables/supplemental-files/news-release-table3-202412.xlsx","News Release Table 3, December 2024 (XLSX)","Data File (Excel)","False",""
"https://www.bls.gov/cpi/tables/supplemental-files/news-release-table4-202412.xlsx","News Release Table 4, December 2024 (XLSX)","Data File (Excel)","False",""
"https://www.bls.gov/cpi/tables/supplemental-files/news-release-table5-202412.xlsx","News Release Table 5, December 2024 (XLSX)","Data File (Excel)","False",""
"https://www.bls.gov/cpi/tables/supplemental-files/news-release-table6-202412.xlsx","News Release Table 6, December 2024 (XLSX)","Data File (Excel)","False",""
"https://www.bls.gov/cpi/tables/supplemental-files/news-release-table7-202412.xlsx","News Release Table 7, December 2024 (XLSX)","Data File (Excel)","False",""
"https://www.bls.gov/cpi/tables/supplemental-files/cpi-u-202412.xlsx","CPI-U, December 2024 (XLSX)","Data File (Excel)","False",""
"https://www.bls.gov/cpi/tables/supplemental-files/cpi-w-202412.xlsx","CPI-W, December 2024 (XLSX)","Data File (Excel)","False",""
"https://www.bls.gov/cpi/tables/supplemental-files/historical-cpi-u-202412.pdf","Historical CPI-U, December 2024 (PDF)","Data File (PDF)","False",""
"https://www.bls.gov/cpi/tables/supplemental-files/c-cpi-u-202412.xlsx","C-CPI-U, December 2024 (XLSX)","Data File (Excel)","False",""
"https://www.bls.gov/news.release/archives/cpi_12112024.htm","November 2024 Consumer Price Index","Report Document","False",""
"https://www.bls.gov/news.release/archives/cpi_12112024.pdf","November 2024 Consumer Price Index (PDF)","Report Document","False",""
"https://www.bls.gov/cpi/tables/supplemental-files/news-release-table1-202411.xlsx","News Release Table 1, November 2024 (XLSX)","Data File (Excel)","False",""
"https://www.bls.gov/cpi/tables/supplemental-files/news-release-table2-202411.xlsx","News Release Table 2, November 2024 (XLSX)","Data File (Excel)","False",""
"https://www.bls.gov/cpi/tables/supplemental-files/news-release-table3-202411.xlsx","News Release Table 3, November 2024 (XLSX)","Data File (Excel)","False",""
"https://www.bls.gov/cpi/tables/supplemental-files/news-release-table4-202411.xlsx","News Release Table 4, November 2024 (XLSX)","Data File (Excel)","False",""
"https://www.bls.gov/cpi/tables/supplemental-files/news-release-table5-202411.xlsx","News Release Table 5, November 2024 (XLSX)","Data File (Excel)","False",""
